undefined - undefined
Архангельск - 351226
Пенза - 524632
Брянск - 405921
Симферополь - 336460
Сургут - 348643
Чита - 343511
Курган - 325200
Волжский - 325895
Смоленск - 328906
Вологда - 312686
Череповец - 318536
Владикавказ - 307478
Орёл - 319651
Саранск - 307987
Мурманск - 301841
Подольск - 293765
Тамбов - 288414
Грозный - 287410
Кострома - 279691
Петрозаводск - 277111
Якутск - 303836
Нижневартовск - 270846
Йошкар-Ола - 265044
Стерлитамак - 279568
Комсомольск-на-Амуре - 251283
Тула - 485521
Новороссийск - 266977
Сыктывкар - 243536
Шахты - 236749
Балашиха - 428400
Таганрог - 251050
Дзержинск - 233126
Нижнекамск - 236197
Нальчик - 239040
Благовещенск - 224335
Химки - 239967
Братск - 234147
Старый Оскол - 222125
Великий Новгород - 221868
Орск - 231104
Ангарск - 226776
Энгельс - 224213
Королёв - 221129
Прокопьевск - 198438
Балаково - 192359
Рыбинск - 191840
Южно-Сахалинск - 193669
Армавир - 191007
Северодвинск - 185075
Люберцы - 190480
Петропавловск-Камчатский - 180963
Норильск - 177428
Абакан - 179200
Сызрань - 174559
Волгодонск - 170558
Новочеркасск - 170233
Златоуст - 169057
Бийск - 203826
Электросталь - 158479
Псков - 208145
Салават - 154117
Уссурийск - 168598
Альметьевск - 152580
Мытищи - 201130
Рубцовск - 146386
Копейск - 146146
Каменск-Уральский - 170221
Пятигорск - 145448
Находка - 153581
Березники - 146627
Миасс - 151387
Коломна - 143578
Красногорск - 144614
Керчь - 148932
Ковров - 139280
Нефтекамск - 125915
Хасавюрт - 138420
Кисловодск - 129993
Новомосковск - 126410
Серпухов - 126586
Нефтеюганск - 125368
Новочебоксарск - 125489
Щёлково - 123520
Первоуральск - 124981
Черкесск - 123128
Дербент - 122354
Одинцово - 141317
Невинномысск - 117891
Орехово-Зуево - 120165
Майкоп - 144260
Новый Уренгой - 111163
Кызыл - 115871
Батайск - 122247
Домодедово - 116950
Димитровград - 116678
Камышин - 112501
Октябрьский - 114050
Назрань - 113288
Раменское - 109709
Каспийск - 110080
Жуковский - 108427
Новошахтинск - 109020
Пушкино - 107143
Муром - 110070
Северск - 108105
Евпатория - 106202
Ачинск - 105364
Ессентуки - 105881
Елец - 105384
Артём - 105338
Сергиев Посад - 104994
Арзамас - 104785
Ноябрьск - 106631
Новокуйбышевск - 103908
Обнинск - 111360
Долгопрудный - 100567
Элиста - 104005
Железногорск - 99683
Ногинск - 101847
Междуреченск - 98734
Бердск - 102808
Сарапул - 98569
Ленинск-Кузнецкий - 97666
Воткинск - 98134
Зеленодольск - 98763
Ухта - 98293
Серов - 97940
Гатчина - 95623
Мичуринск - 94741
Великие Луки - 94021
Ханты-Мансийск - 96936
Тобольск - 98434
Соликамск - 95191
Глазов - 93995
Магадан - 92081
Воскресенск - 94121
Канск - 91018
Новотроицк - 89905
Киселёвск - 92210
Бугульма - 86085
Ейск - 85192
Губкин - 87142
Кинешма - 84561
Бузулук - 85896
Железногорск - 84543
Каменск-Шахтинский - 90307
Лобня - 86020
Чайковский - 83056
Михайловск - 85387
Кузнецк - 84267
Усть-Илимск - 82820
Азов - 81862
Саров - 94417
Новоуральск - 81854
Реутов - 96627
Усолье-Сибирское - 78569
Юрга - 81396
Озёрск - 79518
Кропоткин - 79664
Клин - 79075
Выборг - 79350
Балашов - 78218
Троицк - 75828
Минеральные Воды - 75620
Бор - 78373
Белово - 73400
Дубна - 75179
Биробиджан - 74648
Анжеро-Судженск - 72827
Ялта - 78452
Кирово-Чепецк - 74134
Черногорск - 74268
Шадринск - 76393
Новоалтайск - 73134
Елабуга - 73333
Чапаевск - 72933
Геленджик - 72030
Ивантеевка - 72023
Егорьевск - 73324
Анапа - 73410
Минусинск - 68309
Кстово - 67305
Сосновый Бор - 67602
Кунгур - 66311
Ступино - 66420
Георгиевск - 69944
Чехов - 69789
Белорецк - 66174
Ишимбай - 65850
Белогорск - 66832
Павловский Посад - 65633
Славянск-на-Кубани - 65812
Асбест - 65305
Верхняя Пышма - 67674
Гуково - 65713
Всеволожск - 67911
Заречный - 64887
Ишим - 65521
Дмитров - 66588
Борисоглебск - 63131
Феодосия - 68562
Туймазы - 68277
Вольск - 64315
Лениногорск - 63314
Зеленогорск - 62670
Туапсе - 63058
Полевской - 62402
Буйнакск - 63888
Будённовск - 62964
Россошь - 62680
Сибай - 61354
Горно-Алтайск - 62861
Наро-Фоминск - 62055
Ревда - 62395
Когалым - 63334
Кумертау - 61312
Клинцы - 61934
Чистополь - 60949
Котлас - 61512
Лабинск - 60665
Ржев - 60039
Воркута - 59231
Лесосибирск - 59844
Тихорецк - 59297
Александров - 59787
Белебей - 59081
Видное - 62355
Донской - 64262
Мелеуз - 59154
Шуя - 58690
Сальск - 58680
Павлово - 58423
Алексин - 58759
Михайловка - 58433
Лысьва - 63083
Краснотурьинск - 58023
Фрязино - 59793
Нерюнгри - 57791
Прохладный - 58083
Крымск - 57184
Искитим - 57416
Щёкино - 57973
Апатиты - 56683
Гусь-Хрустальный - 55973
Тихвин - 57970
Лыткарино - 57076
Урус-Мартан - 57615
Избербаш - 57511
Свободный - 54536
Берёзовский - 56586
Жигулёвск - 55052
Нягань - 57120
Лиски - 54788
Волжск - 54600
Арсеньев - 53083
Краснокамск - 53964
Вязьма - 53660
Краснокаменск - 53242
Узловая - 52328
Солнечногорск - 52446
Кириши - 52338
Тимашёвск - 52581
Белореченск - 52153
Боровичи - 51555
Дзержинский - 53867
Шали - 52405
Черемхово - 51338
Рославль - 51466
Сертолово - 51090
Яблоновский - 32039
Гудермес - 52603
Назарово - 50652
Ханская - 11767
Адыгейск - 12689
Гиагинская - 13788
Энем - 19091
Майма - 17824
Давлеканово - 23820
Благовещенск - 35037
Учалы - 37516
Тульский - 10862
Чишмы - 22008
Приютово - 19768
Агидель - 15616
Межгорье - 16019
Северобайкальск - 23944
Янаул - 25894
Баймак - 17475
Закаменск - 11234
Селенгинск - 13793
Кяхта - 19980
Онохой - 10760
Дагестанские Огни - 28887
Гусиноозёрск - 23359
Кизляр - 48237
Кизилюрт - 35762
Ленинкент - 16178
Альбурикент - 12682
Семендер - 13931
Мамедкала - 11052
Тарки - 15544
Белиджи - 11583
Южно-Сухокумск - 10388
Новый Кяхулай - 10093
Баксан - 37782
Майский - 26831
Тырныауз - 20551
Дыгулыбгей - 20387
Нарткала - 30497
Шамхал - 11849
